name,address,city,type,rating,features,image,distance
Sunny Breakfast,No.1, Da’an District, Taipei City,Food,4.5,Cheap;Traditional;Friendly,https://images.unsplash.com/photo-1555396273-367ea4eb4db5,500
Cafe Luna,No.88, Xinyi District, Taipei City,Food,4.8,Quiet;Cozy;Good coffee,https://images.unsplash.com/photo-1517248135467-4c7edcad34c4,1200
Happy Toast,No.66, Zhongshan District, Taipei City,Food,4.3,Fast service;Cheap,https://images.unsplash.com/photo-1586190848861-99aa4a171e90,800
Shilin Night Market,Shilin District, Taipei City,Sight,4.7,Popular;Street food;Crowded,https://images.unsplash.com/photo-1586480086235-5d4f5f2e54e7,600
National Palace Museum,Shilin District, Taipei City,Sight,4.9,Scenic;Cultural;Tourist,https://images.unsplash.com/photo-1574077209933-5e3c7b1c10e7,1000
Chiang Kai-shek Memorial Hall,Zhongzheng District, Taipei City,Sight,4.8,Historical;Spacious;Popular,https://images.unsplash.com/photo-1580656011813-1d3f1c1c5f78,900
Sunset Cafe,Xinyi District, Taipei City,Food,4.6,Outdoor seating;Quiet;Good coffee,https://images.unsplash.com/photo-1533777324565-a040eb52fac2,700
Morning Delight,No.23, Da’an District, Taipei City,Food,4.2,Cheap;Fast service,https://images.unsplash.com/photo-1565299624946-b28f40a0ae38,400
Heritage Bakery,No.12, Wanhua District, Taipei City,Food,4.4,Traditional;Popular,https://images.unsplash.com/photo-1565299624946-b28f40a0ae38,700
City Bistro,Zhongshan District, Taipei City,Food,4.5,Cozy;Popular;Good coffee,https://images.unsplash.com/photo-1528472151942-3a0d04ca5c2b,1100
Ocean View,Tamsui District, Taipei City,Sight,4.8,Scenic;Outdoor seating,https://images.unsplash.com/photo-1541542684-5b3c7e5f4bde,1300
Tea Corner,Songshan District, Taipei City,Food,4.3,Quiet;Cozy,https://images.unsplash.com/photo-1541542684-5b3c7e5f4bde,750
